verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
toetama,,ad,14,29,645,mitte kunagi
looma,,ad,37,42,644,mitte kunagi
selgitama,,all,270,18,644,alati
paluma,,in,21,45,643,mitte kunagi
pidama,vastu,all,17,10,642,mitte kunagi
võlgnema,,all,139,24,641,vahel
jätkama,,el,98,28,640,mitte kunagi
avaldama,,ad,10,31,639,mitte kunagi
alustama,,all,128,53,638,vahel
lendama,,el,47,41,638,vahel
avama,,ad,12,45,636,mitte kunagi
olema,tarvis,ad,168,29,635,vahel
valima,,in,20,53,634,mitte kunagi
lõpetama,,el,107,17,633,vahel
osutuma,,el,121,24,632,vahel
proovima,,in,18,45,632,mitte kunagi
tutvustama,,all,274,23,631,alati
võitlema,,in,19,50,631,mitte kunagi
kirjeldama,,in,15,49,630,mitte kunagi
põlema,,in,18,112,630,mitte kunagi
toetama,,el,136,18,629,vahel
jääma,kõrvale,el,35,22,628,vahel
mängima,,all,150,22,627,vahel
tagama,,in,11,61,627,mitte kunagi
nõudma,,el,66,29,626,vahel
istuma,,all,100,28,625,vahel
muutma,,all,191,31,625,vahel
saabuma,,adit,17,75,624,mitte kunagi
kippuma,,ad,103,36,621,vahel
plahvatama,,in,9,89,621,mitte kunagi
õnnestuma,,el,74,43,621,vahel
astuma,,ill,9,43,620,vahel
hukkuma,,ad,14,35,619,mitte kunagi
peatuma,,in,16,83,619,mitte kunagi
