"value","code"
ilmama,ADV_aste
ilma peal,ADV_aeg
ilma peal,ADV_koht
ilma peal,ADV_modaalsus
ilma peal,ADV_viis
ilma peale,ADV_koht
ilma peale,ADV_viis
ilma pikemata,ADV_aeg
ilmas,ADV_aeg
ilmas,ADV_modaalsus
ilmaski,ADV_aeg
ilmaski,ADV_modaalsus
ilmast ilma,ADV_aeg
ilmast-ilma,ADV_aeg
ilmatu,ADV_aste
ilmatuma,ADV_aste
ilmekalt,ADV_viis
ilmlõpmata,ADV_modaalsus
ilmlõpmatu,ADV_modaalsus
ilmotsata,ADV_aste
ilmselgelt,ADV_viis
ilmselt,ADV_modaalsus
ilmselt,ADV_viis
ilmsesti,ADV_modaalsus
ilmsi,ADV_seisund
ilmsiks,ADV_seisund
ilmtingimata,ADV_viis
ilusalt,ADV_viis
ilusasti,ADV_viis
ilusti,ADV_viis
imeharva,ADV_aste
imehea,ADV_aste
imehästi,ADV_aste
imekiiresti,ADV_viis
imekombel,ADV_viis
imekähku,ADV_viis
imeosav,ADV_aste
imepeen,ADV_aste
imepehme,ADV_aste
imeruttu,ADV_viis
imestamisi,ADV_viis
imestunult,ADV_viis
imetore,ADV_aste
imeväel,ADV_viis
imevähe,ADV_aste
incl.,ADV_viis
inclusive,ADV_viis
incognito,ADV_viis
in corpore,ADV_viis
indiviiditi,ADV_viis
inertselt,ADV_viis
in flagranti,ADV_viis
inglikeeli,ADV_viis
inimeseti,ADV_viis
inimesiti,ADV_viis
inkognito,ADV_viis
innukalt,ADV_viis
in situ,ADV_koht
in spe,ADV_viis
instinktiivselt,ADV_viis
internatsionaalselt,ADV_viis
intuitiivselt,ADV_viis
in vitro,ADV_viis
in vivo,ADV_viis
