"word","semantic_types"
asüstoolia,SEISUND
asüül,KOHT
Ašgabat,KOHT
Ašhabad,KOHT
Azawad,KOHT
Ataalia,KOHT
Atacama,KOHT
atakk,SEISUND
ataksia,SEISUND
ataraksia,SEISUND
Ataste,KOHT
Ateena,KOHT
ateljee,KOHT
ateljeekorter,KOHT
ateroom,SEISUND
ateroskleroos,SEISUND
atetoos,SEISUND
Athabasca,KOHT
Áthos,KOHT
Atika,KOHT
Atla,KOHT
Atlandi ookean,KOHT
Atlant,KOHT
atlant,KOHT
Atlanta,KOHT
Atlantis,KOHT
Atlase mäed,KOHT
atoll,KOHT
Atra,KOHT
atroofia,SEISUND
Atsalama,KOHT
atsidoos,SEISUND
Atõrau,KOHT
Auaste,KOHT
Auckland,KOHT
Aude,KOHT
Audevälja,KOHT
audients,sündmus
audikas,KOHT
Audjasaare,KOHT
Audjassaare,KOHT
Audjassaarõ,KOHT
Audla,KOHT
Audru,KOHT
Augeiase tallid,SEISUND
Augli,KOHT
Augsburg,KOHT
augustiputš,sündmus
auhinnagala,sündmus
auhinnavõistlus,sündmus
Auksi,KOHT
Aukštaitija,KOHT
auku,SEISUND
Auküla,KOHT
Aula,KOHT
aula,KOHT
Aula-Vintri,KOHT
Aulepa,KOHT
Aunus,KOHT
Aunuse-Karjala,KOHT
aupäev,AEG
aurusaun,KOHT
Auschwitz,KOHT
au sees,SEISUND
au sisse,SEISUND
austamisõhtu,sündmus
Austerlitz,KOHT
Austla,KOHT
Austraalia,KOHT
Australaasia,KOHT
Austria,KOHT
Austria-Ungari,KOHT
austrikasvandus,KOHT
austuskontsert,sündmus
autism,SEISUND
autismispektri häire,SEISUND
autoavarii,sündmus
autobaas,KOHT
autobussijaam,KOHT
autodroom,KOHT
autofirma,KOHT
autoimmuunhaigus,SEISUND
autoimmuunsus,SEISUND
autoinfektsioon,SEISUND
autoinspektsioon,KOHT
autointoksikatsioon,SEISUND
autokabiin,KOHT
autokino,sündmus
autokool,KOHT
autokuur,KOHT
autolammutus,KOHT
autolammutuskoda,KOHT
automaatpesula,KOHT
automagistraal,KOHT
automajand,KOHT
automatk,sündmus
autonäitus,sündmus
autoparkla,KOHT
autopesula,KOHT
autoregistrikeskus,KOHT
autoremonditöökoda,KOHT
autorikontsert,sündmus
autoriõhtu,sündmus
autorlus,SEISUND
autorsus,SEISUND
autosalong,KOHT
autoservis,KOHT
autosild,KOHT
autotee,KOHT
autoteenindus,KOHT
autotehas,KOHT
autotekk,KOHT
autotootja,KOHT
autotöökoda,KOHT
autovõidusõit,sündmus
autoõnnetus,sündmus
auul,KOHT
Auvere,KOHT
Auvergne,KOHT
Auvergne-Rhône-Alpes,KOHT
avaaktus,sündmus
avadefilee,sündmus
avaetendus,sündmus
avaettekanne,sündmus
avageim,sündmus
avaistung,sündmus
avakohtumine,sündmus
avakontsert,sündmus
avakoosolek,sündmus
avakosmos,KOHT
avalaht,KOHT
avalik kord,SEISUND
avalik maja,KOHT
avalohk,KOHT
avamaa,KOHT
avamatš,sündmus
avameri,KOHT
avamine,sündmus
avamus,KOHT
avandus,KOHT
Avanduse,KOHT
avantüür,sündmus
avaparkla,KOHT
avapauk,sündmus
avapäev,AEG
avarannik,KOHT
avariiolukord,SEISUND
avaring,sündmus
Avarua,KOHT
avaruum,KOHT
avastart,sündmus
Avaste,KOHT
avasõit,sündmus
avatseremoonia,sündmus
Avatša,KOHT
avatud köök,KOHT
avatud suhe,SEISUND
